date,resolution_ms,source,target,lag_ms,n_impulses,response_return,response_signed_notional,p_return,p_flow,q_return,q_flow,significant
2024-03-05,100,ETHUSDT,SOLUSDT,10,452,1.3166196089564498e-05,348.49319778761077,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,SOLUSDT,25,452,1.3166196089564498e-05,348.49319778761077,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,SOLUSDT,50,452,1.3166196089564498e-05,348.49319778761077,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,SOLUSDT,100,452,1.3166196089564498e-05,348.49319778761077,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,SOLUSDT,250,452,2.9551578163481526e-05,1173.2665139380545,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,SOLUSDT,500,452,4.100313602585295e-05,2459.3131305309757,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,SOLUSDT,1000,452,5.116018762784045e-05,1895.2902714601787,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,SOLUSDT,2000,452,6.340379156001637e-05,3521.6152340708045,0.01,0.01,0.01,0.01,True
2024-03-05,100,ETHUSDT,SOLUSDT,5000,452,1.4232212138893925e-05,-2415.422251106167,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,BTCUSDT,10,321,5.545773134437068e-06,6678.373399999998,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,BTCUSDT,25,321,5.545773134437068e-06,6678.373399999998,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,BTCUSDT,50,321,5.545773134437068e-06,6678.373399999998,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,BTCUSDT,100,321,5.545773134437068e-06,6678.373399999998,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,BTCUSDT,250,321,1.7150313400853426e-05,10663.117514018593,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,BTCUSDT,500,321,2.3682945638038226e-05,11757.750641744413,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,BTCUSDT,1000,321,3.709281140724123e-05,7772.60159345783,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,BTCUSDT,2000,321,4.389723594554546e-05,49684.60087850448,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,BTCUSDT,5000,321,6.216101042412833e-05,108595.10293333235,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,ETHUSDT,10,321,1.0144521055125065e-05,-495.40925545172007,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,ETHUSDT,25,321,1.0144521055125065e-05,-495.40925545172007,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,ETHUSDT,50,321,1.0144521055125065e-05,-495.40925545172007,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,ETHUSDT,100,321,1.0144521055125065e-05,-495.40925545172007,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,ETHUSDT,250,321,1.9955585379931985e-05,-573.852338629288,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,ETHUSDT,500,321,2.6358519092819734e-05,473.12673239875016,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,ETHUSDT,1000,321,3.499922538025227e-05,-1819.0281196261678,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,ETHUSDT,2000,321,4.279448222473335e-05,-146.06221838004748,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,ETHUSDT,5000,321,6.953095760593664e-05,4231.83978971965,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,SOLUSDT,10,321,2.7229074739901035e-05,7535.857557632399,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,SOLUSDT,25,321,2.7229074739901035e-05,7535.857557632399,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,SOLUSDT,50,321,2.7229074739901035e-05,7535.857557632399,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,SOLUSDT,100,321,2.7229074739901035e-05,7535.857557632399,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,SOLUSDT,250,321,3.567834761314133e-05,8657.462419314636,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,SOLUSDT,500,321,4.297950658731564e-05,8944.643542056068,0.01,0.01,0.01,0.01,True
2024-03-05,100,SOLUSDT,SOLUSDT,1000,321,5.534468674293606e-05,9483.31988629283,0.01,0.01,0.01,0.01,True
