t_ms,signed_notional,notional,return,idx,z_flow,z_activity,direction,symbol,date,resolution_ms
1709596806600,-406326.63339999993,630301.2833999998,-0.00017707727420557262,66,-18.29270423634707,12.1304230311221,-1,BTCUSDT,2024-03-05,100
1709596808600,-194107.71029999992,196156.63849999994,-7.027952218763289e-05,86,-8.738671410241942,11.070092111168611,-1,BTCUSDT,2024-03-05,100
1709596809700,-222996.647,222996.647,-0.00013474522919665333,97,-10.03924275190791,11.186584721971332,-1,BTCUSDT,2024-03-05,100
1709596811000,-597943.4811,605588.1755,-9.961968727623116e-05,110,-26.919237752860738,12.094090055400908,-1,BTCUSDT,2024-03-05,100
1709596812500,-800902.1972000011,800902.1972000011,-0.00014507545781050624,125,-36.05637881284928,12.348016131298131,-1,BTCUSDT,2024-03-05,100
1709596814600,558856.4367000002,566907.3435000002,0.00016416438168143088,146,25.159550634398368,12.034133379935191,1,BTCUSDT,2024-03-05,100
1709596816200,-136516.60000000003,136516.60000000003,-1.4650222279755098e-06,162,-6.145936746148079,10.74083724252196,-1,BTCUSDT,2024-03-05,100
1709596819400,-144343.81040000002,144343.81040000002,-0.00012455097557761974,194,-6.498315431357001,10.791480531124778,-1,BTCUSDT,2024-03-05,100
1709596823400,-1979143.4582999984,1979143.4582999984,-0.00019932756326568324,234,-89.10045010104665,13.16980634017305,-1,BTCUSDT,2024-03-05,100
1709596825000,266511.8703,266511.8703,6.594078080723875e-05,250,11.998285167968001,11.348513170199222,1,BTCUSDT,2024-03-05,100
1709596829300,-169345.17429999996,169345.17429999996,-3.368164548334107e-05,293,-7.62386940132717,10.936584676188497,-1,BTCUSDT,2024-03-05,100
1709596833900,-158287.706,158287.706,-3.953990198901636e-05,339,-7.126065465803306,10.875247103761952,-1,BTCUSDT,2024-03-05,100
1709596837700,-207390.3955,207390.3955,-0.0001933151056885407,377,-9.33665394905552,11.120678883766438,-1,BTCUSDT,2024-03-05,100
1709596841900,-512088.1905000001,512088.1905000001,-0.00027388252075688513,419,-23.05405809449127,11.94175252083924,-1,BTCUSDT,2024-03-05,100
1709596852900,136774.13379999995,136774.13379999995,5.125565369290541e-05,529,6.157530841260282,10.742549236843907,1,BTCUSDT,2024-03-05,100
1709596860300,250359.2793,250359.2793,0.00012150019081680341,603,11.271100323250211,11.291720053611478,1,BTCUSDT,2024-03-05,100
1709596864200,677632.0588,691988.8978,0.00013602327920381185,642,30.506793829811865,12.215239844411089,1,BTCUSDT,2024-03-05,100
1709596869300,-1955531.3614999994,1955531.3614999994,-0.00027947695557806185,693,-88.03744052289484,13.158903823940904,-1,BTCUSDT,2024-03-05,100
1709596874500,176411.60270000002,176821.7141,-3.9501722353563196e-05,745,7.941997907073612,10.975828941104233,1,BTCUSDT,2024-03-05,100
1709596875600,-217896.33630000002,217896.33630000002,-6.145031524518174e-05,756,-9.80962828049636,11.165567423590906,-1,BTCUSDT,2024-03-05,100
1709596891300,-142520.30509999997,142520.30509999997,-0.00012153684082072402,913,-6.4162217648720015,10.779931922403337,-1,BTCUSDT,2024-03-05,100
1709596894600,1708541.1360999998,1727522.4066999997,0.000320789584559833,946,76.91801400461608,13.046289044538499,1,BTCUSDT,2024-03-05,100
1709596895700,-621134.2987000002,621134.2987000002,-0.0001742975556613402,957,-27.963281466673262,12.117114775883035,-1,BTCUSDT,2024-03-05,100
1709596898900,-942066.5413999998,960357.1737999998,-2.783872586675784e-05,989,-42.4115556211251,12.512946682119885,-1,BTCUSDT,2024-03-05,100
1709596901600,-347977.929,347977.929,-1.025928887088412e-05,1016,-15.66586291110097,11.590794884842598,-1,BTCUSDT,2024-03-05,100
1709596903100,-667516.7619000004,697670.3113000003,-0.00014070985212022435,1031,-30.05140617061214,12.222667400227381,-1,BTCUSDT,2024-03-05,100
1709596906000,452571.3599999999,453253.45599999995,1.4660682179368223e-06,1060,20.37462807950249,11.830889554088225,1,BTCUSDT,2024-03-05,100
1709596908700,345662.93530000007,345662.93530000007,0.00017442989684646193,1087,15.561642582965558,11.584731550126921,1,BTCUSDT,2024-03-05,100
1709596910100,-178254.4225,178254.4225,-1.4658404214884513e-06,1101,-8.024961106606483,10.98315941872577,-1,BTCUSDT,2024-03-05,100
1709596913900,-180776.5438,180776.5438,0.0,1139,-8.138506257715672,10.99592189144999,-1,BTCUSDT,2024-03-05,100
1709596914900,-767690.7303999999,797837.2993999998,-0.0001451405410133333,1149,-34.56120845115258,12.344533284893911,-1,BTCUSDT,2024-03-05,100
1709596919000,336346.72439999995,336346.72439999995,0.0001099541492308731,1190,15.142229537920661,11.559913333746918,1,BTCUSDT,2024-03-05,100
1709596920900,-147088.788,147088.788,0.0,1209,-6.621893506837882,10.808592759970631,-1,BTCUSDT,2024-03-05,100
1709596924600,390859.65120000014,394954.0992000001,0.00015827561679948587,1246,17.596385295976468,11.70582278401538,1,BTCUSDT,2024-03-05,100
1709596927400,172853.31100000002,172853.31100000002,1.4648269424100135e-06,1274,7.781804672605835,10.95521014197021,1,BTCUSDT,2024-03-05,100
1709596930700,-157990.45900000003,162086.18500000006,-0.00022704019514563356,1307,-7.1126834942336785,10.896788125263544,-1,BTCUSDT,2024-03-05,100
1709596933700,137873.492,137873.492,9.665118302848441e-05,1337,6.207023620589386,10.749821315510365,1,BTCUSDT,2024-03-05,100
1709596938000,154570.4844,154570.4844,4.540617656623169e-05,1380,6.958717254486766,10.853660484852089,1,BTCUSDT,2024-03-05,100
1709596941000,-352800.14289999957,353209.89969999954,1.6107009111365755e-05,1410,-15.882957547253595,11.604350954625508,-1,BTCUSDT,2024-03-05,100
1709596942400,-890203.5322000001,903869.9722000001,-3.512191695875799e-05,1424,-40.07669836561117,12.457881158677388,-1,BTCUSDT,2024-03-05,100
1709596944200,-136451.1043,151758.00990000003,-0.00010829400369161135,1442,-6.142988149205693,10.836980079302988,-1,BTCUSDT,2024-03-05,100
1709596954400,-427854.6759000001,434548.0661000001,-0.000106864742274837,1544,-19.261890309494134,11.79260617908503,-1,BTCUSDT,2024-03-05,100
1709596980100,250680.2405,250680.2405,2.6345755847145824e-05,1801,11.2855499010537,11.292883844409044,1,BTCUSDT,2024-03-05,100
1709596987400,669083.8723999999,697646.2602,0.00012293840362431752,1874,30.121957019426286,12.222636084852885,1,BTCUSDT,2024-03-05,100
1709596995600,-283638.2689000001,297300.7089,-4.9770251743908034e-05,1956,-12.769310541328599,11.44782141348647,-1,BTCUSDT,2024-03-05,100
1709596998500,-341800.8365000001,341800.8365000001,-6.882367888749741e-05,1985,-15.387772043176446,11.574525142508827,-1,BTCUSDT,2024-03-05,100
1709597010100,199382.6446,199382.6446,0.00018300659387193718,2101,8.976147384210583,11.084909751074944,1,BTCUSDT,2024-03-05,100
1709597012700,-153299.307,153299.307,0.0,2127,-6.901489225854842,10.846159215285152,-1,BTCUSDT,2024-03-05,100
1709597018000,133305.8153,133305.8153,4.8296205024556116e-05,2180,6.001388173507826,10.719217700973592,1,BTCUSDT,2024-03-05,100
1709597020200,-201692.0432,201692.0432,-0.0001316838711105106,2202,-9.0801158226074,11.095370729790371,-1,BTCUSDT,2024-03-05,100
1709597029600,142408.86389999997,143092.19789999997,0.0001112211941904917,2296,6.411204715179035,10.783569656856233,1,BTCUSDT,2024-03-05,100
1709597036300,267513.1245,267513.1245,1.4634806682067847e-06,2363,12.043361334383038,11.351919429371842,1,BTCUSDT,2024-03-05,100
1709597042200,285422.7816,286105.89259999996,0.00024592611800677844,2422,12.849648772553941,11.412956106345824,1,BTCUSDT,2024-03-05,100
1709597044400,335854.87210000004,335854.87210000004,7.317403346362994e-06,2444,15.120086493600434,11.55858401235795,1,BTCUSDT,2024-03-05,100
1709597053600,-325312.55280000006,326679.18280000007,-0.00017852543888530192,2536,-14.645474412904782,11.533421558516912,-1,BTCUSDT,2024-03-05,100
1709597059500,-1133338.8053000004,1133338.8053000004,-0.00027808717187305376,2595,-51.022576077406214,12.663390071148875,-1,BTCUSDT,2024-03-05,100
1709597071200,594934.9247999999,594934.9247999999,1.755813204873391e-05,2712,26.78379344266677,12.077968076707593,1,BTCUSDT,2024-03-05,100
1709597076800,159530.30040000004,159530.30040000004,0.0,2768,7.182006696272846,10.8823501789728,1,BTCUSDT,2024-03-05,100
1709597080700,668582.3086999998,668582.3086999998,0.00023401084454555132,2807,30.099376770765215,12.183982281974396,1,BTCUSDT,2024-03-05,100
1709597084600,-216389.15869999997,218987.67469999997,-0.0003407556179038096,2846,-9.741775593022371,11.17010567176277,-1,BTCUSDT,2024-03-05,100
1709597088300,158684.85030000002,160052.31630000003,0.00012286252138160592,2883,7.143944784119857,10.885317703325496,1,BTCUSDT,2024-03-05,100
1709597096800,294530.36880000035,294940.7676000003,1.4619893722311872e-06,2968,13.259669640647857,11.440582068820506,1,BTCUSDT,2024-03-05,100
1709597097800,166863.20950000003,167000.03850000005,-7.308125176663793e-05,2978,7.512132083909613,10.92391739995068,1,BTCUSDT,2024-03-05,100
1709597102400,-141510.55109999998,142194.83909999998,1.4613740582092305e-06,3024,-6.370762939987921,10.777855153190096,-1,BTCUSDT,2024-03-05,100
1709597106700,1073967.0859000003,1127353.0159000005,0.00020749192024815954,3067,48.34967892099848,12.658579720439244,1,BTCUSDT,2024-03-05,100
1709597112900,-225240.0679,767494.4236999999,1.752779250629999e-05,3129,-10.14024089386564,12.309312401787462,-1,BTCUSDT,2024-03-05,100
1709597116600,684634.9668,684634.9668,0.0,3166,30.822062666034675,12.205534659882533,1,BTCUSDT,2024-03-05,100
1709597118100,-210817.65069999997,210817.65069999997,-0.00011834155285228576,3181,-9.490947959249935,11.135567616901815,-1,BTCUSDT,2024-03-05,100
1709597119300,410611.1947999999,410611.1947999999,1.4612726223717232e-05,3193,18.4855939167917,11.741137857457684,1,BTCUSDT,2024-03-05,100
1709597120700,670783.9687000003,698165.2887000004,0.0002805225334974182,3207,30.198494849420317,12.223311638521013,1,BTCUSDT,2024-03-05,100
1709597127700,-412970.55650000006,412970.55650000006,-3.3611505076081016e-05,3277,-18.59181167909669,11.746342417028902,-1,BTCUSDT,2024-03-05,100
1709597130500,-693299.9773000001,693299.9773000001,-7.158787012429002e-05,3305,-31.212158862670904,12.216959273316046,-1,BTCUSDT,2024-03-05,100
1709597136600,311240.2061,311240.2061,3.506956926280225e-05,3366,14.011941548124485,11.489443889751668,1,BTCUSDT,2024-03-05,100
1709597141900,684554.0302999999,684690.9316999998,0.00010079724788170097,3419,30.818418928866773,12.205608911226031,1,BTCUSDT,2024-03-05,100
1709597154500,136588.59060000003,137273.25960000002,8.763742649620099e-05,3545,6.149177741557554,10.745858091529326,1,BTCUSDT,2024-03-05,100
1709597158400,549581.0277,549581.0277,-5.842836464964307e-05,3584,24.74197447876122,12.005937727339868,1,BTCUSDT,2024-03-05,100
