idx,timestamp_us,kind,direction,score
5413,1704067741500000,removed_liquidity,1,8.029057912058205
5442,1704067744400000,removed_liquidity,0,7.266323196563626
5507,1704067750900000,imbalance_change,-1,6.322868233054312
5518,1704067752000000,imbalance_change,-1,16.289238705500594
5532,1704067753400000,signed_liquidity_delta,-1,23.764192605348622
5574,1704067757600000,imbalance_change,1,35.96238243564336
5599,1704067760100000,imbalance_change,-1,17.813942694173996
5618,1704067762000000,signed_liquidity_delta,1,20.00258946027072
5637,1704067763900000,signed_liquidity_delta,1,6.681266548628176
5693,1704067769500000,signed_liquidity_delta,-1,8.022944996713097
5710,1704067771200000,signed_liquidity_delta,-1,28.420943579708688
5723,1704067772500000,imbalance_change,1,23.14241856420177
5747,1704067774900000,imbalance_change,1,59.991090139299786
5757,1704067775900000,signed_liquidity_delta,1,10.307241234723932
5774,1704067777600000,signed_liquidity_delta,-1,6.017208747534823
5796,1704067779800000,imbalance_change,-1,14.010357098562022
5818,1704067782000000,imbalance_change,1,21.812037434120956
5843,1704067784500000,imbalance_change,-1,56.08359319934384
5859,1704067786100000,imbalance_change,1,35.46445683104789
5880,1704067788200000,signed_liquidity_delta,-1,26.659338556698277
5892,1704067789400000,imbalance_change,-1,26.989942073587525
5905,1704067790700000,signed_liquidity_delta,-1,25.19142131217613
5943,1704067794500000,signed_liquidity_delta,1,52.16479191620999
5957,1704067795900000,removed_liquidity,-1,14.19425000526698
5971,1704067797300000,signed_liquidity_delta,1,53.445437557752946
5985,1704067798700000,signed_liquidity_delta,1,17.93529875663132
5999,1704067800100000,signed_liquidity_delta,1,52.0985426304764
6017,1704067801900000,signed_liquidity_delta,-1,7.766294220485343
6044,1704067804600000,signed_liquidity_delta,1,52.16479191620999
6079,1704067808100000,signed_liquidity_delta,1,17.561798846511255
6096,1704067809800000,signed_liquidity_delta,1,54.640532940553314
6107,1704067810900000,signed_liquidity_delta,-1,6.819503247206132
6131,1704067813300000,signed_liquidity_delta,1,9.16900547511223
